INQUIRY_ID（询单号）,INQUIRY_TITLE（询单标题）,INQUIRY_STATUS_NAME（询价状态）,PUR_METHOD_NAME（采购方式名称）,QUOTE_START_DATE,TECH_CLAUSE（技术条款）,id（采购商代码）
c172489ba5ad494abf30350e1559514d,单向阀,已结束,公开,2022/06/29 08:15:00,保证原厂真品,40150
d55f5e4e330b11ecaf97005056b12bb8,档线轮油缸21.10.22急,已作废,定向,2021/10/22 15:50:00,条款名：验收标准；条款内容：<br/>,10856
773fc2fd0b694f3ea66439fcab5b318a,滑板,已结束,定向,2022/05/31 16:49:25,[NULL],5716
7ac6c771d5734b04b75c15623ff63ec4,（3.4日软启动器）重庆市九龙万博招标公告,已结束,公开,2022/03/04 16:48:00,<p>1：电气原件要求良信</p><p>2：可控硅品牌，ABB</p><p>3：接触器，施耐德或西门子</p>,9876
57e9523db56711ec906d005056b12bb8,钢板PN22Q2L0555,已结束,定向,2022/04/06 13:06:40,[NULL],44382
845c75cb07fe4318af29d5208db93e6e,铝锭,已结束,定向,2022/06/07 10:49:00,,6625
c10ff3af527811ecb29f005056b12bb8,工具、器具,已结束,公开,2021/12/01 15:35:00,先货后款，货单同行，次月付款（银行承兑）,41153
78c4abb9783b449096109dbcfe16a41d,5万吨喷吹用烟煤-特低灰水运询比价,已结束,定向,2022/01/13 15:33:00,,16133
aed45cec2bd611ecaf97005056b12bb8,铰孔螺栓等,已结束,定向,2021/10/14 09:00:00,"严格按图纸、技术要求及相关标准制作报价。
",3562
78a418fd241611ecaf97005056b12bb8,工矿备件,已结束,公开,2021/10/12 12:05:00,矿业公司通用条款。,27019
7a25f626283311ecaf97005056b12bb8,8、9月正常计划包59-2-矿用隔爆风动泵类,已结束,定向,2021/10/09 18:00:00,1、符合质量、环境、职业安全健康一体化要求。 2、执行MT/T315-92、等标准。3、技术参数详见发询附件,1762
864ac32953324bb6b9e955a0907db2a7,22年和选生产性维修工程,已结束,公开,2022/01/19 16:30:00,参照2018版《安徽省建设工程工程量清单计价办法》、《安徽省建设工程费用定额》、《安徽省建设工程施工机械台班费用编制规则》、《安徽省建设工程计价定额(共用册）》、《安徽省市政工程计价定额》。,33355
abbd45a6b64b11ec906d005056b12bb8,水泥墩 ,已结束,公开,2022/04/07 16:22:00,,35958
3e314f0eb9a5481597a34adc9c6be75e,南山电机车备件,已结束,公开,2022/03/28 08:03:10,,6854
925e5a1f0a0411ecaf97005056b12bb8,八钢本部酸奶,已结束,定向,2021/08/31 10:38:49,,34018
988f1345e14b11ebaf97005056b12bb8,除尘滤袋,已作废,公开,2021/07/10 14:58:00,,40150
251492a3b6524fc7bf1c23843d6dc69b,备件询价,已结束,公开,2022/06/09 10:00:00,条款名：质量标准；条款内容：全新原装正品,5178
c1eba174ff8f425fab0998561dcb6bd0,润滑油润滑脂的询价,已结束,公开,2021/09/01 17:00:00,"1、需满足询价方的质量要求。 	 
2、按照相关质量标准进行质保，质保期内供方免费提供退货、换新、维修等质保服务。",38127
9d154c29648411ecb29f005056b12bb8,榆钢公司转向架维修,已结束,定向,2021/12/24 14:42:07,[NULL],23547
a758b7d65fb0480f9669041e88b4f1e3,炼钢厂用焊接渣罐,已结束,公开,2022/05/05 13:32:00,,13643
773bc2d0fb0c11ebaf97005056b12bb8,炼钢油缸等修复,已结束,定向,2021/08/12 09:32:00,,3526
907d3c36c41446a99155a82e34486801,2022年华宝信托信息系统基础维护合同,已结束,定向,2022/03/24 09:45:00,,41750
dde243a1f46011ebaf97005056b12bb8,防静电工作服（分体），分体雨衣（夜光防寒防雨）询价,已结束,定向,2021/08/03 21:44:04,,15538
f7f19a06699543e0a6d5fc701064a7cb,聚氯乙烯管弯头  pvc,已结束,定向,2022/01/27 12:00:00,,40349
8119474b315411ecaf97005056b12bb8,【电脑配件】10月05,已结束,公开,2021/10/21 18:00:00,,8303
6ecfeb745beb11ecb29f005056b12bb8,KF10202112132728,已结束,公开,2021/12/16 09:50:00,,12263
e7d400507fe711ec906d005056b12bb8,备件(轧钢区域专用机械备件)2#炉门,已结束,公开,2022/01/27 15:38:00,"见询单附件：除物料编码描述外特别要求。
对与编码内容单位不一致、容易引起误会的着重说明。",13373
438405dca8e911ec906d005056b12bb8,变频控制柜采购西玛20220218-0321,已结束,定向,2022/03/21 18:00:00,按照双方约定的技术条款执行！,40056
425fb7bf91204925ae802ba635893e7e,白象山充填站滤布袋采购,已结束,公开,2021/12/08 16:29:00,"	
1、按需方提出的规格型号、技术参数，满足需方使用要求。 2、参照现行有关国家标准、行业标准、企业标准执。",27019
98b0a8b11b6811ecaf97005056b12bb8,离心泵,已作废,定向,2021/09/22 15:35:00,条款名：验收标准；条款内容：<br/>,10856
a256949bdfc411ebaf97005056b12bb8,系统集成分公司6月报告 便携式报警器,已结束,定向,2021/07/09 09:50:00,所供设备必须完全满足询价单中规格型号、备注栏中所列要求。,7111
bd2afdf76fea485f9c9276ae261d033a,2021年8月份烧结用石灰石粉采购-鑫烨商谈,已结束,定向,2021/08/04 13:22:00,"三、交货质量标准
1、执行标准：炼铁[2016]062号，规格型号0-4mm
2、质量要求：CaO≥52.00% 、P≤0.010%、S≤0.150%、SiO2≤2.50%、Al2O3≤0.80%、MgO≤2.00%，粒度要求：0-4mm、0-4mm≥90.0%、+5mm≤0.5%。
3、乙方有义务向甲方提供相关采购技术标准。甲方必须按采购技术标准对所供货物进行检测化验，并及时向乙方提供真实、准确的质保书。
4、如产品不符合合同要求，乙方可要求退货或降价处理，由此产生的一切费用由甲方负责；同时甲方需赔偿因产品质量问题给乙方造成的经济损失。因质量问题乙方要求退货的，甲方在接到书面通知10个工作日内必须将货物运走，逾期未运走的，乙方不负责保管，亦不承担遗失责任，甲方还需承担相应的仓储费用；接到书面通知20个工作日内未运走的，视为甲方放弃货物所有权。
5、乙方原燃辅料督查组对仲裁复验具有提出终裁的权利。
6、复验方式只允许备样复验；合格品及水分、粒度不允许复验。
7、甲方所供产品必须来自乙方论证确定的矿点，甲方更换矿点需征得乙方同意。甲方擅自更换矿点，乙方有权终止合同。

四、约定事项
1、结算价格：在本合同有效起始日期至截止日期期间内到货的产品执行本合同价格，超期到货的产品按实际到货日期所属合同月的合同价格执行。到货日期以乙方系统收付单日期为准。
2、计量、质量以乙方验收数据为结算依据。
3、如计量、质量发生异议，乙方在合理期限内通知甲方，甲方接通知后二个工作日内到乙方处理，否则以乙方验收为准。
4、合同兑现率=在本合同有效起始日期至截止日期期间的到货量÷合同量×100%，退货不算到货量。
5、乙方因生产或接卸困难等原因要求甲方暂缓发运时，甲方应立即停发，否则由此造成的经济损失由甲方承担。
6、甲方发货时货物品名必须按“标的名称”填写，且须当日内电告乙方所发车号、吨位、日期及质量情况以便乙方接收。
7、甲方进入乙方厂区的有关人员、车辆，须遵守乙方在环境和安全方面的管理规定（由乙方通过电子邮件、微信等方式书面传递给甲方，甲方签订本合同则视为已充分理解）。如有违反，乙方有权按照上述管理规定对甲方进行考核，若因违反规定导致出现的任何人身伤害、财产损失或安全事故，甲方承担全部责任 。
8、甲方应遵守双方签订的《规范商业行为协议书》的要求，违反的，乙方按约定处理并扣除全部合同履约保证金。
9、甲方已知晓并遵守中国宝武集团《关于实行禁入管理规定》(见附件），若有违反情形的，乙方有权将其纳入禁入名单序列，实施不同期限的禁入。

五、计量标准
 以乙方水测数量作为结算依据,干基结算。

六、验收标准及处理方法
1、甲方已充分理解乙方制定的关于质量验证及不合格品处置的相关规定。当质量不符合合同要求时，同意按有关规定执行。
2、到货质量超出约定商务处理（含税）
指标	指标范围（%）	扣款标准（以合同值为基准）
CaO	51.00≤CaO＜52.00	扣款2元/吨
CaO	50.00≤CaO＜51.00	退货，无法退货扣款3元/吨
CaO	48.00≤CaO＜50.00	退货，无法退货扣款12元/吨
CaO	CaO ＜48.00	退货，无法退货扣全部货款(含运费)
SiO2	2.50＜SiO2≤3.00	扣款1元/吨
SiO2	3.00＜SiO2≤3.50	退货，无法退货扣款3元/吨
SiO2	3.50＜SiO2≤5.00	退货，无法退货扣款10元/吨
SiO2	SiO2＞5.00	退货，无法退货扣全部货
S	S＞0.150	退货，无法退货扣款2元/吨
P	P＞0.010	退货，无法退货扣款1元/吨
MgO	2.00＜MgO≤3.00	扣款1元/吨
MgO	3.00＜MgO≤4.00	退货，无法退货扣款3元/吨
MgO	MgO ＞4.00	退货，无法退货扣款10元/吨
Al2O3	0.80＜Al2O3≤1.20	扣款1元/吨
Al2O3	1.20＜Al2O3≤1.60	退货，无法退货扣款3元/吨
Al2O3	Al2O3 ＞1.60	退货，无法退货扣款6元/吨
粒度(0-4mm)	85.0≤粒度（0-4mm）部分＜90.0	扣款1元/吨
粒度(0-4mm)	粒度（0-4mm）部分＜85.0	退货，无法退货扣款3元/吨
粒度(>5.0mm)	0.5＜粒度+5mm部分≤1.0	扣款2元/吨
粒度(>5.0mm)	粒度+5mm部分＞1.0	退货，无法退货扣款5元/吨

七、解决合同纠纷的方式
执行本合同发生争议，由双方协商解决。
协商不成向乙方住所地:1.马鞍山仲裁委员会仲裁(×)。2.法院起诉(√)。

八、其他事项
1、本合同在双方的法人或其授权委托代理人签字、盖章后生效，本合同不得转让。
2、合同未尽事宜双方协商解决，可签订补充协议。
3、乙方关注供应商在环境管理体系、清洁生产、社会责任等方面的表现，双方应加强沟通与信息传递，致力于共建绿色供应链。



",16133
63aa94eaad304afc9f4f24571fa10e19,武汉市黄陂区人民医院项目保温柜、保冷柜的采购询价,已结束,公开,2022/06/28 16:45:00,"设备技术条款:1.质量要求技术标准：供方保证供给需方的产品必须为全新产品，并提供具有法律意义的合格证书、出厂检测报告等相关资料（所有证明资料随货物一起交付）。供方提供的产品还应符合相应的国家法律法规、国家标准、行业标准的要求。
2.保修期：自货物安装调试完毕并验收合格之日起 12  个月，保修期内免费维修，保修期内如有问题供方应自接到需方通知之日起  2  日内到达现场进行维修，并在 2 日内维修完毕，如逾期未到达维修或维修不成功，则需方有权自行安排维修，费用由供方承担。如确实无法维修，则需方有权解除合同，供方退还需方所有已付款，并承担由此而给需方造成的损失。保修期满终生维修，供方收取维修成本费，维修时限同上。
",34490
e1fbea161f6d11ecaf97005056b12bb8,四钢轧9月1580热轧轧线机大修,已结束,定向,2021/09/27 16:35:34,[NULL],23547
f78f17bc1c4411ecaf97005056b12bb8,新疆大安电动滚筒,已结束,公开,2021/09/23 16:11:00,,24335
e7cb20421cd411ecaf97005056b12bb8,劳保防护用品采购,已结束,公开,2021/09/24 09:19:00,,32152
8f9923a32c9711ecaf97005056b12bb8,芯线用碳粉,已作废,定向,2021/10/15 10:20:00,"S		                ≤0.50	
固定碳FCd		≥98.0	
0～3mm		       ≥95	
水份		              ≤0.5	
堆积密度                  ≥1050g/L							
",10856
af35b2b812e311ecaf97005056b12bb8,9月中旬-免垫片密封胶,已结束,公开,2021/09/12 09:00:00,,28080
6dc05b4ef0ee4a309076028200d04737,修边机备件,已结束,公开,2022/06/09 00:00:00,正品,21263
488bff9efffb44d58b08c9b13b342418,带钢车间天车配件,已结束,公开,2022/06/05 11:30:00,,20638
bcc5c0e5396911ecaf97005056b12bb8,钢渣道路两侧增加喷雾设施项目施工,已结束,定向,2021/10/31 09:00:00,详见《固定资产维修项目（钢渣道路两侧增加喷雾设施）询价说明》。,44994
7ad81e201a6843628d5d99566cba273a,伊犁钢铁厂区绿化用花苗草花一批,已结束,公开,2022/06/07 13:17:19,,34018
e35fb123e90244f4b47336b492532042,不锈钢电阻器等采购,已结束,公开,2022/01/26 13:36:48,[NULL],8217
04c11498ef7811ebaf97005056b12bb8,宝钢股份大数据中心数据管理、数据服务功能建设应用软件设计开发,已结束,定向,2021/07/28 16:05:00,详见技术需求书,35905
d5ccb6fe402a11ecaf97005056b12bb8,水冷器管箱及封头2件,已结束,公开,2021/11/08 09:30:00,1、投标报价单位需严格按照要求的产品名称、规格型号、材质、技术参数、数量进行报价。,39826
5499877b61a6462e8b7d2b3395adfda6,PN22Q2B1721,已结束,定向,2022/05/06 13:45:00,,44382
f715f07fece24949ae8dc67b9f898074,金属硅采购,已作废,公开,2022/05/07 09:00:00,,30688
e6365ef620b711ecaf97005056b12bb8,镀锌钢带2021.9.29,已结束,公开,2021/09/29 07:59:00,,7552
8db49a23e5d911ebaf97005056b12bb8,0716资材采购编码器,已结束,公开,2021/07/16 10:00:00,,34725
13b72730111d405ab1b733cdf0a31bba,辅助材料-锥柄铣刀（丰牌）,已结束,定向,2022/04/14 15:15:00, ,10326
580a5937dd4011ebaf97005056b12bb8,变压器电控柜清洗,已结束,定向,2021/07/05 12:00:00,见附件,22966
0ee3042f65e748e7a9e159e839936494,40万吨-自力式压力调节阀询价,已结束,公开,2022/06/13 22:00:00,,32177
bc40e4391df611ecaf97005056b12bb8,2021年10月采购山西焦煤1万吨（本部）,已结束,公开,2021/09/25 19:50:09,,15167
7959b89ce1b448af95d872d1bd03e3f8,阀门询价2.9,已结束,定向,2022/02/09 17:00:00,,37981
ec7e9d8ab34446c49c4e3d7cd7942c51,照明配电箱等13项,已结束,公开,2021/08/23 14:30:00,"<p>
一、须严格按照标的物技术规格要求进行报价，技术参数、安装尺寸、功能不符做无效标处理。
<p>
若投标人投其它品牌产品，要求为同档次品牌，且报价之前必须与现场技术人员进行技术交流，确保所供产品能完全替代原品牌产品。
<p>
二、要求进口品牌随货提供产品进货渠道证明，未提供进货渠道证明或进货渠道不明，按质量异议处理，并有权依据合同相关条款追究卖方违约责任。
<p>
三、卖方负责免费指导安装调试。
<p>
四、产品质保期：上机使用起十二个月或产品交付起十八个月，以先到为准。
<p>
五、验收标准：质量验收以买方检验结果为准。
<p>
六、验收地点：韶钢工程北区钢材库物资验收小组，未按规定执行到货验收的单位，不办理结算手续。
<p>
七、操作箱主要元器件要求
操作箱内断路器、热继电器、中间继电器及其他主要电气元件采用国内外知名品牌。主要元器件应具有国家CCC 认证证书。
转换开关、按钮、指示灯等采用国内外知名公司的产品，优先使用推荐品牌。柜内接线端子排须采用菲尼克斯或魏德米勒公司的产品，其余严格按照附图要求选型。
柜内所有材料应采用知名品牌厂家产品（包括二次导线、接线鼻子、接线端子、螺丝等）。",25656
c6c742a5a01c45658752394c14ecdf21,上夹送辊精磨、动平衡和氧*升降小车等修复,已结束,公开,2022/05/16 16:00:00,严格执行技术交底、修复内容及方案要求,32152
300cebe7933940ecb2e683b63bd62018,汉高件的采购,已结束,公开,2021/11/19 18:00:00,,12671
96d9ea386bd24defae0d66bb2547bcd6,机加工备件询价,已结束,公开,2022/06/21 09:12:00,需到现场与设备人员确认实物规格，按照要求完成制作，建议离我司车程2小时内供方报名报价,42925
2effbae567d34e24bc95f4ba71af3939,上海联通青浦平安城市十三五项目专网代维服务采购项目（内场维护续签2个月）,已结束,公开,2022/01/25 16:30:00,详见技术协议。,19379
