QUOTATION_ID（报价单号）,INQUIRY_ID（报价单对应询单号）,QUOTE_TIME（报价时间）,id（供应商代码）
5f373da516c111ecaf97005056b12bb8,4c90496f16a811ecaf97005056b12bb8,2021/09/16 15:40:32,11236
82fc3c5703b111ecaf97005056b12bb8,ab44a11a00c211ecaf97005056b12bb8,2021/08/23 09:29:08,31588
42836aee025c11ecaf97005056b12bb8,ab44a11a00c211ecaf97005056b12bb8,2021/08/21 16:46:21,16664
7215fa88015d11ecaf97005056b12bb8,ab44a11a00c211ecaf97005056b12bb8,2021/08/20 10:22:19,8840
77037ebd018411ecaf97005056b12bb8,ab44a11a00c211ecaf97005056b12bb8,2021/08/20 15:01:38,18189
3cd6389a016311ecaf97005056b12bb8,ab44a11a00c211ecaf97005056b12bb8,2021/08/20 11:03:47,19906
5d9a2087016111ecaf97005056b12bb8,ab44a11a00c211ecaf97005056b12bb8,2021/08/20 10:50:23,42616
5526f01d019e11ecaf97005056b12bb8,ab44a11a00c211ecaf97005056b12bb8,2021/08/20 18:06:48,23464
145eb30c019411ecaf97005056b12bb8,ab44a11a00c211ecaf97005056b12bb8,2021/08/20 16:53:25,21674
cb7132c999c411ec906d005056b12bb8,408d732e990211ec906d005056b12bb8,2022/03/02 09:05:04,30843
e9da7109996511ec906d005056b12bb8,408d732e990211ec906d005056b12bb8,2022/03/01 21:45:53,11213
c9be8cca99ca11ec906d005056b12bb8,408d732e990211ec906d005056b12bb8,2022/03/02 09:47:58,35111
e313719830a011ecaf97005056b12bb8,3a68dadb7bc548b787f38ecd33c548f0,2021/10/19 13:53:30,12072
d94659ec317911ecaf97005056b12bb8,3a68dadb7bc548b787f38ecd33c548f0,2021/10/20 15:46:34,37682
0906d55c2e3b11ecaf97005056b12bb8,3a68dadb7bc548b787f38ecd33c548f0,2021/10/16 12:39:23,16027
630d65eb31ff11ecaf97005056b12bb8,3a68dadb7bc548b787f38ecd33c548f0,2021/10/21 07:42:28,43073
4e0cc2e331fc11ecaf97005056b12bb8,3a68dadb7bc548b787f38ecd33c548f0,2021/10/21 07:20:25,42784
779d4627320511ecaf97005056b12bb8,3a68dadb7bc548b787f38ecd33c548f0,2021/10/21 08:26:00,10275
87ccc4247f3511ec906d005056b12bb8,2813f7ba7e4b11ec906d005056b12bb8,2022/01/27 13:54:02,13425
0cb2038e9d5c42609be22c355e5deade,7f2aba116b8043ccb92e4f138f461acb,2022/06/16 15:27:25,44115
0384165e90df4368abf2f7e92346dcda,7f2aba116b8043ccb92e4f138f461acb,2022/06/17 08:52:20,4463
cfa7155142a011ecaf97005056b12bb8,ff89bf6a428d11ecaf97005056b12bb8,2021/11/11 11:38:18,26309
63f0b557429d11ecaf97005056b12bb8,ff89bf6a428d11ecaf97005056b12bb8,2021/11/11 11:13:49,5941
83cf8fa242a511ecaf97005056b12bb8,ff89bf6a428d11ecaf97005056b12bb8,2021/11/11 12:11:59,30351
c48e2d4542b911ecaf97005056b12bb8,ff89bf6a428d11ecaf97005056b12bb8,2021/11/11 14:36:57,27660
023586d142a011ecaf97005056b12bb8,ff89bf6a428d11ecaf97005056b12bb8,2021/11/11 11:32:34,20466
2533f9936e9047069e39538a8579ebbc,5d5b0bc1442a4607a40b933a8cae64f3,2022/05/05 18:40:05,23265
095ec759ab424533a84def4ffa07fa72,5d5b0bc1442a4607a40b933a8cae64f3,2022/05/06 23:07:02,5844
e6f0c922276246c9877fc6288dfc1363,5d5b0bc1442a4607a40b933a8cae64f3,2022/05/06 16:48:22,14335
aaa9455aaacd45bb8d5d205b77330034,5d5b0bc1442a4607a40b933a8cae64f3,2022/05/04 13:30:16,13365
c0a5812ca40f4696965f2a676e1097ef,5d5b0bc1442a4607a40b933a8cae64f3,2022/04/29 17:24:49,21565
ea6e5d57b5b745e89c8b548903bf2070,5d5b0bc1442a4607a40b933a8cae64f3,2022/05/06 15:00:53,30539
1a5d354e305c46589934cb8c8cd89ace,c45a1ab84c2545129776d1d3f63b7230,2022/03/10 14:14:20,46140
bebd23265e174016935a0d806cd0d214,c45a1ab84c2545129776d1d3f63b7230,2022/03/10 14:18:52,34708
1a85658427f746f7ae6bade6874b3b47,c45a1ab84c2545129776d1d3f63b7230,2022/03/09 15:33:25,29452
dd8d9339b0914fcc84cab5076245a3e9,c45a1ab84c2545129776d1d3f63b7230,2022/03/10 15:33:12,10099
ebfc719b69ff4b9db183456f352e9cfe,c45a1ab84c2545129776d1d3f63b7230,2022/03/10 13:49:30,17589
fd9c33796c9148889b2462a31abf211c,c45a1ab84c2545129776d1d3f63b7230,2022/03/10 15:16:13,6650
3979f156da6a487d8c09c14a5e6ac9ac,c45a1ab84c2545129776d1d3f63b7230,2022/03/10 14:54:16,38293
6483693f15a44bd2886a50c73da72ef8,c45a1ab84c2545129776d1d3f63b7230,2022/03/10 15:32:52,5435
b99713ce53d211ecb29f005056b12bb8,53947c13517c11ecb29f005056b12bb8,2021/12/03 08:48:26,39928
d6891bda525511ecb29f005056b12bb8,53947c13517c11ecb29f005056b12bb8,2021/12/01 11:21:56,7934
17214086ba0a11ec906d005056b12bb8,48fa1fbfb9f811ec906d005056b12bb8,2022/04/12 10:41:44,718
1ff2798ebac411ec906d005056b12bb8,48fa1fbfb9f811ec906d005056b12bb8,2022/04/13 08:53:25,1559
4ad08c863af011ecaf97005056b12bb8,1859224b3add11ecaf97005056b12bb8,2021/11/01 16:47:06,16558
aefab2d73b7311ecaf97005056b12bb8,1859224b3add11ecaf97005056b12bb8,2021/11/02 08:27:38,34847
e37c8ee53b7111ecaf97005056b12bb8,1859224b3add11ecaf97005056b12bb8,2021/11/02 08:14:47,14451
d97473f35f0111ecb29f005056b12bb8,22d8beb768aa4f9aba223aeddeaa07c0,2021/12/17 14:23:28,32287
127c689f664c41c4a1cf1c0a1c46450e,22d8beb768aa4f9aba223aeddeaa07c0,2021/12/18 13:27:16,25524
64f1c05d5f0c11ecb29f005056b12bb8,22d8beb768aa4f9aba223aeddeaa07c0,2021/12/17 15:38:57,9834
57ae93de5f0811ecb29f005056b12bb8,22d8beb768aa4f9aba223aeddeaa07c0,2021/12/17 15:09:57,3601
5c97da3a5eeb11ecb29f005056b12bb8,22d8beb768aa4f9aba223aeddeaa07c0,2021/12/17 11:42:30,13506
76ae2270e79711ebaf97005056b12bb8,2002253ce1f411ebaf97005056b12bb8,2021/07/18 15:12:08,1843
b9a888e6e37811ebaf97005056b12bb8,2002253ce1f411ebaf97005056b12bb8,2021/07/13 09:22:01,19053
d179b75fe74d11ebaf97005056b12bb8,2002253ce1f411ebaf97005056b12bb8,2021/07/18 06:24:57,1679
89e764a8e45711ebaf97005056b12bb8,2002253ce1f411ebaf97005056b12bb8,2021/07/14 11:56:59,38012
1bf74a6cd66a11ec906d005056b12bb8,f19a489c3f2646489923e21d318dc836,2022/05/18 13:19:36,28271
63be7ba6d64f11ec906d005056b12bb8,f19a489c3f2646489923e21d318dc836,2022/05/18 10:08:20,23335
9c8ebba6d7ef11ec906d005056b12bb8,f19a489c3f2646489923e21d318dc836,2022/05/20 11:47:46,22027
c7e6b3abd64e11ec906d005056b12bb8,f19a489c3f2646489923e21d318dc836,2022/05/18 10:03:59,8213
2dc7ebc3d65311ec906d005056b12bb8,f19a489c3f2646489923e21d318dc836,2022/05/18 10:35:28,42873
47b74794d7ee11ec906d005056b12bb8,f19a489c3f2646489923e21d318dc836,2022/05/20 11:38:14,20418
622de7d254b64b309f9f43771d1c5317,065cf29d2ccc4989a1af03a6cf05e90d,2022/04/30 16:33:12,37873
866e8773aaf441eb9420182d9a85a21a,065cf29d2ccc4989a1af03a6cf05e90d,2022/04/30 15:56:50,13979
3ee4f6fc2a724124b0d4859fcc87394d,065cf29d2ccc4989a1af03a6cf05e90d,2022/05/03 09:38:06,45203
261ffabcf15e4595a46591836ba3c55e,065cf29d2ccc4989a1af03a6cf05e90d,2022/04/30 19:56:35,22161
3aa4dd4ce40e4a2a898bcf9277235b56,065cf29d2ccc4989a1af03a6cf05e90d,2022/04/30 19:34:14,14628
e2ab35edc5d64a4fa3491f1c76db7ae5,facc90285fdd4adba6561c5213e28cf5,2022/04/19 13:45:25,23591
c998962b476047bfb21a8420258de6ed,facc90285fdd4adba6561c5213e28cf5,2022/04/19 09:34:58,19272
a8e37d6701fd461a8446a49e66908b1f,facc90285fdd4adba6561c5213e28cf5,2022/04/19 16:43:45,15323
7bf4b4b25cab11ecb29f005056b12bb8,efd889545a2011ecb29f005056b12bb8,2021/12/14 15:00:13,43497
ebb3f4235e1111ecb29f005056b12bb8,efd889545a2011ecb29f005056b12bb8,2021/12/16 09:46:00,19200
9eb126235d7711ecb29f005056b12bb8,efd889545a2011ecb29f005056b12bb8,2021/12/15 15:21:28,35617
97be7ec94e8c11ecb29f005056b12bb8,d5c50f094dca11ecb29f005056b12bb8,2021/11/26 15:43:48,6246
fddc99ad4e5711ecb29f005056b12bb8,d5c50f094dca11ecb29f005056b12bb8,2021/11/26 09:27:16,26098
4e6e9d83185211ecaf97005056b12bb8,6a9b4649175211ecaf97005056b12bb8,2021/09/18 15:30:32,38241
f6191e5f177911ecaf97005056b12bb8,6a9b4649175211ecaf97005056b12bb8,2021/09/17 13:41:52,36350
d7129c6e177911ecaf97005056b12bb8,6a9b4649175211ecaf97005056b12bb8,2021/09/17 13:41:00,15791
4cdf8f79178a11ecaf97005056b12bb8,6a9b4649175211ecaf97005056b12bb8,2021/09/17 15:38:50,1357
03d2f17223ad43e7bcf1a3d1dcf43b1a,53b0870decfd44e4900f8621020ee913,2022/03/19 22:56:19,11888
235360103bb245d7aa7c8423993576fc,53b0870decfd44e4900f8621020ee913,2022/03/18 15:18:14,1704
83ca6514b19a489585cbeb0c52d88d96,53b0870decfd44e4900f8621020ee913,2022/03/10 17:18:05,39179
635045a7d31d4b46aeb651e82b189dab,53b0870decfd44e4900f8621020ee913,2022/03/21 09:29:07,37986
57ec49fb39fe4f73a60badbf9880ed9e,53b0870decfd44e4900f8621020ee913,2022/03/17 16:47:01,27282
0aaf463b197145599e723c31f2de7e8c,53b0870decfd44e4900f8621020ee913,2022/03/21 11:41:34,39517
ed15e3392c2b4ae2b20bd61e2690c465,53b0870decfd44e4900f8621020ee913,2022/03/08 13:00:18,31637
551e862e76544b24923adbc9c9232065,53b0870decfd44e4900f8621020ee913,2022/03/20 22:52:27,4381
d8c2eb2be280489bbaa5b99e53c87975,53b0870decfd44e4900f8621020ee913,2022/03/15 08:39:24,33220
429e7b696ae54fc6b3095788daf100ea,53b0870decfd44e4900f8621020ee913,2022/03/10 17:10:42,9082
7d545e5d969a4826ab6c58e05dbe4a6e,1e93225b19be42b39899de22dc728497,2022/05/30 08:40:31,9725
497398a9129d4c93960acdd966aa20de,1e93225b19be42b39899de22dc728497,2022/05/30 00:09:05,5064
75b55e41bd7f4c449f37f796f7f41135,1e93225b19be42b39899de22dc728497,2022/05/31 09:46:02,27108
79f753f3ee6e11ebaf97005056b12bb8,847b4865eb7811ebaf97005056b12bb8,2021/07/27 08:06:22,33836
dd236e35edba11ebaf97005056b12bb8,847b4865eb7811ebaf97005056b12bb8,2021/07/26 10:40:39,34558
fd4d3996edfd11ebaf97005056b12bb8,847b4865eb7811ebaf97005056b12bb8,2021/07/26 18:41:09,22092
18cc00feeeba11ebaf97005056b12bb8,847b4865eb7811ebaf97005056b12bb8,2021/07/27 17:07:41,12361
4164972aede311ebaf97005056b12bb8,847b4865eb7811ebaf97005056b12bb8,2021/07/26 15:29:47,8210
5221cbadedba11ebaf97005056b12bb8,847b4865eb7811ebaf97005056b12bb8,2021/07/26 10:36:46,35831
4aa2136eef4311ebaf97005056b12bb8,847b4865eb7811ebaf97005056b12bb8,2021/07/28 09:29:45,39528
074d1dfdee7311ebaf97005056b12bb8,847b4865eb7811ebaf97005056b12bb8,2021/07/27 08:38:57,30895
775bc97628354cecaa645f4955d9f66b,92dc37c3eec04d6c98a2acaef4dcd447,2022/04/27 15:15:47,35018
dff7f99af72311ebaf97005056b12bb8,2868707df3f711ebaf97005056b12bb8,2021/08/07 10:05:01,5650
1230e875f97a11ebaf97005056b12bb8,2868707df3f711ebaf97005056b12bb8,2021/08/10 09:27:05,41231
949ad10cf8f611ebaf97005056b12bb8,2868707df3f711ebaf97005056b12bb8,2021/08/09 17:45:50,28161
c68ccaaaf67911ebaf97005056b12bb8,2868707df3f711ebaf97005056b12bb8,2021/08/06 13:47:24,44760
fc6445620ba111ecaf97005056b12bb8,b78e76aa0a1c11ecaf97005056b12bb8,2021/09/02 11:58:09,9308
2c339c5ee37311ebaf97005056b12bb8,f3af20f5dfc711ebaf97005056b12bb8,2021/07/13 08:42:16,24515
012e9d20e37611ebaf97005056b12bb8,f3af20f5dfc711ebaf97005056b12bb8,2021/07/13 09:02:33,38829
6afd6bc4c20d11ec906d005056b12bb8,fdb8aa84c05011ec906d005056b12bb8,2022/04/22 15:25:42,40979
4bf76dcce38811ebaf97005056b12bb8,d57d7fdee38011ebaf97005056b12bb8,2021/07/13 11:13:29,13923
26b164bbe38211ebaf97005056b12bb8,d57d7fdee38011ebaf97005056b12bb8,2021/07/13 10:29:29,33353
88f2f0a8e38611ebaf97005056b12bb8,d57d7fdee38011ebaf97005056b12bb8,2021/07/13 11:00:52,33315
b970196907cc4e4e818c16741c405de2,5e4e3bdcbe9b4443b2faebe5608da377,2021/12/09 15:18:12,33424
0a422451320c4d5a911c2ae0e69837ae,5e4e3bdcbe9b4443b2faebe5608da377,2021/12/10 15:55:48,28120
d9e8610550244687bead9f42b0fa9944,5e4e3bdcbe9b4443b2faebe5608da377,2021/12/12 18:51:37,1177
ad66bc5748d711ecb29f005056b12bb8,f3c0525687af4b5a9de423a24e52652d,2021/11/19 09:26:10,43497
26e2157748d511ecb29f005056b12bb8,f3c0525687af4b5a9de423a24e52652d,2021/11/19 09:08:05,44071
c93618d8697f46409ab409c178f30b60,bd0ab9948cf54c569d06095c3b64600c,2022/03/25 17:41:58,6969
8cc65dcbd07f464f8791024eb315cf9a,152ba6bf0cf34292875817c22f5f407b,2022/05/23 12:03:15,4064
2c544a9e93ad458097e0cc3895c4cc88,152ba6bf0cf34292875817c22f5f407b,2022/05/24 08:02:49,34727
d004236caa6f42fe93474f213680337b,152ba6bf0cf34292875817c22f5f407b,2022/05/20 16:05:27,37919
1787bc683b4145e5a7b8df6ddcaccf56,152ba6bf0cf34292875817c22f5f407b,2022/05/24 14:41:02,39517
6e5c0a4a01c64843862ec05f3fc4fb17,152ba6bf0cf34292875817c22f5f407b,2022/05/24 14:30:40,33220
32a64f917bf640ada52c785fb25fa302,152ba6bf0cf34292875817c22f5f407b,2022/05/18 18:50:16,44982
ee36424af6c040d483650b8427c34b16,152ba6bf0cf34292875817c22f5f407b,2022/05/24 12:47:42,38863
fa8c7ed063e74a59bc3801106125ea19,152ba6bf0cf34292875817c22f5f407b,2022/05/20 16:32:47,35471
135d96e0ef85405bbfc3a4ac712c9c48,152ba6bf0cf34292875817c22f5f407b,2022/05/24 14:04:49,36191
091d24b279134709b3ccfd3b0fd42423,152ba6bf0cf34292875817c22f5f407b,2022/05/24 09:06:39,20238
233708049727427d895d258cfe3ad1c3,152ba6bf0cf34292875817c22f5f407b,2022/05/21 10:17:41,23780
c215846014b346fa989db32356c02eb1,152ba6bf0cf34292875817c22f5f407b,2022/05/23 16:44:41,1414
ddfc1598fad44147b2b1fceafbbca59e,152ba6bf0cf34292875817c22f5f407b,2022/05/24 09:13:59,4381
7b7a765b1f1148d1a06ab03055f6fed2,152ba6bf0cf34292875817c22f5f407b,2022/05/20 17:40:32,22273
08a7bf3eea594c6e87d1581109f6f630,152ba6bf0cf34292875817c22f5f407b,2022/05/19 11:01:18,27793
da18fb8d070c4c8fa47540dc87390a33,152ba6bf0cf34292875817c22f5f407b,2022/05/18 10:03:44,3235
750b4298feee42aca5dec34aa3c33a39,152ba6bf0cf34292875817c22f5f407b,2022/05/22 14:40:52,25936
bca3bf0d621641a8be9b6efa7b6ef68c,152ba6bf0cf34292875817c22f5f407b,2022/05/24 14:04:24,1704
71708910500d4de88783da60a65c5a05,152ba6bf0cf34292875817c22f5f407b,2022/05/23 12:36:12,1089
bb00d54958e2459699eee2d247fb48e2,33bb1017b58147e98583972496154dce,2022/03/09 07:54:52,41060
e374c69f3f6a487485d10838156007a1,33bb1017b58147e98583972496154dce,2022/03/09 07:59:38,46071
66034c25c4ec4cf48eb739f865f8c706,33bb1017b58147e98583972496154dce,2022/03/08 16:39:23,8625
cf1b38abea8411ebaf97005056b12bb8,c8b1e147e83811ebaf97005056b12bb8,2021/07/22 08:36:09,31218
737ab686bb3542a984c63b2c6e4a655c,77206ac33e4f49d6ae5e1a5296bc5553,2022/06/02 09:10:00,44241
55d4bb2751a049a4af4703bfb6b173f8,77206ac33e4f49d6ae5e1a5296bc5553,2022/06/02 10:20:05,35111
b55fbfa523f847e39b5afa4a1c0e76b9,bf4134ce5833481d8e98d6be8ae12ef7,2022/06/30 08:37:40,40112
1ea382dafd744f77b4829bac67f3583a,bf4134ce5833481d8e98d6be8ae12ef7,2022/06/29 09:23:27,27887
5a75f5cbb86347b9bdfecfa637e81f21,bf4134ce5833481d8e98d6be8ae12ef7,2022/06/29 08:38:03,40
617777986d5e4e23a245613b067e40e9,0aeff61a9fb7406cb6060bf2949c8d4c,2022/04/26 10:00:16,30539
206499385e88455ebca7d48c0c6febd4,0aeff61a9fb7406cb6060bf2949c8d4c,2022/04/29 13:27:25,31039
b444dd1adb5748d4a6a222545d934371,0aeff61a9fb7406cb6060bf2949c8d4c,2022/04/26 14:26:00,32848
27917e8c5fbc4eb48ccb3a306c87c479,0aeff61a9fb7406cb6060bf2949c8d4c,2022/04/28 16:47:40,17864
3cb73f4e9a674807a1491d0343f67281,0aeff61a9fb7406cb6060bf2949c8d4c,2022/04/28 16:50:07,7289
064882772daa4acd81591dfbdd006b5f,0aeff61a9fb7406cb6060bf2949c8d4c,2022/04/29 11:12:55,25075
f8b8a59aa59240e3b5a23508aa561d54,0aeff61a9fb7406cb6060bf2949c8d4c,2022/04/28 14:25:19,15461
20acf81dcaec4befbe50905149fab2a9,0aeff61a9fb7406cb6060bf2949c8d4c,2022/04/28 16:48:24,44925
525688a6f2f64eb89a1a74cdb9967897,6c17877031b247e7a9d917132fb2925a,2022/05/05 11:15:13,44386
1875808c26f64bbfb26e1f35e0364131,6c17877031b247e7a9d917132fb2925a,2022/04/29 15:11:30,26358
a2ee7efe869d4c3e8302387ff6d01b66,6c17877031b247e7a9d917132fb2925a,2022/04/30 13:44:24,5202
e4d56cb658f34f25a0d4a93fe6a29b3b,6c17877031b247e7a9d917132fb2925a,2022/04/28 16:59:12,42171
71df64f1f66a402db6ea1bc05a1c8421,6c17877031b247e7a9d917132fb2925a,2022/04/28 16:40:42,13365
2585d3e70bc611ecaf97005056b12bb8,2d9b9b7906ca11ecaf97005056b12bb8,2021/09/02 16:17:00,41521
77aa59edda834a1dae1b129ccabe6a1e,90a9cadc55484741b5f3092fc5300008,2022/04/21 09:04:16,13961
bd1c76a5bd7942b7bd65d9a97e5a442f,90a9cadc55484741b5f3092fc5300008,2022/04/20 10:43:35,9760
fe7711a5ba4f49ba9019ed0b4330056a,2d93d914650344bebc91a16a667630a9,2022/03/17 10:42:46,26841
4b41bab97c0c48af9ea2fefbf6d6eb87,03f4609f25bf4ef492290367c1162036,2022/07/01 12:57:11,12177
6f7594e4950d41fc8c5ddf4e488add06,03f4609f25bf4ef492290367c1162036,2022/06/30 16:35:42,42742
90f8bd88a843481b958a591714132786,9374d73d4f7d4690a55f4959db76e5c7,2022/04/14 16:09:08,15323
cdcd80fa0a0945a3a18b1fc74407dcfb,9374d73d4f7d4690a55f4959db76e5c7,2022/04/14 08:54:32,39747
8787c3f7e24141b9b1a3f3ed825a3091,85ec4f887b8643c69168ee301038dbcc,2022/05/05 13:09:53,8503
7ad300144cf74ed38b7dda43cb7a5f31,85ec4f887b8643c69168ee301038dbcc,2022/05/05 14:29:47,35087
d8fb3dba984d4b01b02824564e700e11,85ec4f887b8643c69168ee301038dbcc,2022/05/05 16:29:44,5056
6730e7a1f9dc45aca3edaa298ffc1d0f,95e0f55564ee4d9dbe9192d9e70284e2,2022/04/12 09:25:44,16940
8d5e013848d04bb4a08e5addf7170a7c,95e0f55564ee4d9dbe9192d9e70284e2,2022/04/12 09:40:32,12336
010d475df39e4dfbb5a55a93750ca4c3,95e0f55564ee4d9dbe9192d9e70284e2,2022/04/12 09:07:13,20138
