id（企业代码）,区,企业性质（精简）,企业规模,企业性质,国家,省份,区域,法人代表实名认证,所属行业,供应商交付超期风险,供应质量风险,授信回款风险,工商变更信息,法院公告信息,CA办理情况
7,新疆/乌鲁木齐市/新市区,服务型用户,小型企业,服务型,CHN,新疆,西部,法人代表未实名认证,其他机械设备及电子产品批发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,已办理CA
10,安徽/马鞍山市/花山区,,微型企业,,CHN,安徽,华东,法人代表未实名认证,电气设备批发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次高,无法院公告,未办理CA
12,,制造型用户,微型企业,生产加工型,CHN,江苏,华东,法人代表未实名认证,通用设备制造业,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
21,,制造型用户,微型企业,制造型,CHN,广东,南方,法人代表未实名认证,其他橡胶制品制造,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次高,无法院公告,未办理CA
40,,制造型用户,微型企业,制造型,CHN,浙江,华东,法人代表未实名认证,橡胶零件制造,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
41,山西/晋城市/泽州县,贸易型用户,微型企业,贸易型,CHN,山西,北方,法人代表未实名认证,其他未列明零售业,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
60,,制造型用户,超大型企业,生产加工型,CHN,安徽,华东,法人代表未实名认证,电线、电缆制造,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
99,重庆/重庆/其他,服务型用户,微型企业,服务型,CHN,重庆,西部,法人代表未实名认证,其他未列明信息技术服务业,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次中,无法院公告,未办理CA
102,山西/晋城市/城区,,小型企业,,,山西,北方,法人代表已实名认证,商业贸易,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次高,无法院公告,未办理CA
107,天津/天津/武清区,贸易型用户,小型企业,产品代理型,CHN,天津,北方,法人代表未实名认证,信息系统集成服务,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次高,无法院公告,未办理CA
151,,制造型用户,小型企业,制造型,CHN,广西,南方,法人代表未实名认证,仪器仪表制造业,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次高,无法院公告,未办理CA
164,,服务型用户,微型企业,服务型,CHN,湖北,华中,法人代表未实名认证,五金零售,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
181,,贸易型用户,小型企业,贸易型,CHN,河南,华中,法人代表未实名认证,其他机械设备及电子产品批发,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次高,无法院公告,未办理CA
190,,制造型用户,中型企业,制造型,CHN,江苏,华东,法人代表未实名认证,冶金专用设备制造,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,已办理CA
198,湖北/武汉市/洪山区,,小型企业,,CHN,湖北,华中,法人代表未实名认证,信息技术,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次高,无法院公告,未办理CA
218,贵州/六盘水市/钟山区,制造型用户,小型企业,制造型,CHN,贵州,西部,法人代表未实名认证,机械设备,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
222,河北/衡水市/枣强县,制造型用户,中型企业,制造型,CHN,河北,北方,法人代表未实名认证,物料搬运设备制造,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
246,江苏/泰州市/泰兴市,,小型企业,,CHN,江苏,华东,法人代表未实名认证,科技推广和应用服务业,年交付未超期,无pscs质量异议发生,授信超期风险低,工商变更频次低,无法院公告,未办理CA
